text,Rating,tokens
"wonderful location great beds pretty rooms inn market lived positive reviews, tourists car location n't better, countless excellent restaurants easy walking distance, rainy able explore area race hotel warm got wet cold socal little tolerance weather, staff friendly view deck glorious dark day, room spacious beds extremely comfortable, hotel stay seattle great fun uncooperative weather,  ",5,62
"tempur-pedic beds, minute literally driving past way hotel decided stay, great, staff extremely helpful accommodating room really comfortable clean location excellent, atmosphere location hotel great choice previously stayed grand hyatt returning, room internal facing left bit loud tempur-pedic mattress huge bonus fun try, way restaurant courtyard desk staff suggested try turned excellent, view deck great, stay,  ",5,65
"hated inn terrible, room-service horrible staff un-welcoming, decor recently updated lacks complete look, managment staff horrible,  ",1,20
"pay location location perfect walking distance, lot stairs bags problem no elevator available clean noisy woodden floors hear rooms street, breakfast included good, conclusion good compromise,  ",3,30
"ace grunge lives does mold mildew tiny bed metal sink cool extra instead nightsta,  ",1,15
"ace hotel, reasonably priced hotel great location seattle, spent nights room staff great, communal showers immaculate queue, breakfast great, bit street noise coming floor ear plugs room, highly recommend bar cyclops hotel,  ",4,39
"perfect way, stayed ace seattle short time august, perfect hotel, things need none things n't, great design super comfy great location, staff friendly knew cool places helpful way, rooms super stylie great art ammenities really need, loved place planning make sepcial trip portland check ace portland apparently turntables rooms library vinyl check,  ",5,60
"interesting comfortable base seattle really enjoyed time, interesting decor unique touches, super clean tidy bathrooms shared spacious clean available, breakfast adequate fresh simple quite healthy nice change usual cardiac inducing breakfast fare served hotels, definitely stay,  ",4,41
"stay clear, internet reservation friday rang hour later add thursday booking, thursday rang let know arriving late said no problem, arrive 10.30pm hear oh n't booking tonight, n't room, total apathy not concerned, says sorrys looks reservation book sorrys apathy, finally says bb door calls authority hangs says sorry times, incompetence management employees, completely soured trip, stay away,  ",1,69
"single rooms like hospital rooms single rooms hotel sparse intentional know ugly like trapped hospital white walls sink basin room small rectangle shape.the beds hard rocks blankets rough really noisy.this overrated hotel stayed fan stype hotels,  ",1,37
"nice hotel husband stayed crown plaza spring break, arrival told given room beds booked king bed, matter resolved quickly, staff helpful met requests, room large clean quiet great view, location hotel decent, overall great experience, really no complaints said elevators bit slow, stay,  ",4,52
"great hotel hotel nice room really comfortable clean, location pretty good blocks pike place market waterfront, definitely stay seattle,  ",5,22
"stay liked good rate hotel room 24th floor, great view, room nice clean liked sleep aid includes dvd lavender spray pillows eyemask earplugs, did n't notice noise walked baseball game maybe tired, staff helpful friendly, stay seattle somewhat frequently business stay, parking expensive seattle..welcome city,  ",4,54
"good location value downtown stayed town conference convention center little expensive downtown hotels, able book club room rate regular room hotels, included continental breakfast club lounge pastries cereal fruit early-evening appetizers charge alcoholic beverages got room high floor great view city, gave coupon free appetizer bar.the hotel convenient business convention center minute walk park street directly convention center door, fine decent gym ok bar, stay try book club room visit seattle,  ",4,77
"good experience having booked minute escape university tower hotel review proved excellent minute find.central clean rooms good views albeit rooms exec levels n't exactly spacious.try book executive rooms possible good choice breakfast hors d'oeuvres day makes overall package palatable.restaurant little pricey good food staying night skip try benihana just road hotel great food atmosphere,  ",5,55
"not bad clean comfy friendly good average hotel, looking ritzy n't place, decent view higher motel expectation ca n't afford ritz type hotel place not bad.as hotels downtown parking valet 25, better trying park street, room clean courteous friendly desk valet,  ",4,46
"loved inn queen anne really great stay, great staff continental breakfast locationsuite included bedroom lounge room kitchen 2 walk-in robes den,  ",5,23
"excellent stay staff friendly helpful, nice hotel price, supermarkets restaurants close proximity, ideal location space needle, breakfast included added bonus, rooms big spacious, overall nice experience relaxing,  ",4,34
"great location staff location price make older hotel good choice, staff friendly, looking modern place not, old studio apartment building run hotel, great neighborhood close great local resturants, hotel does not sterile tourist feeling newer mid range hotels, feels like small european hotel, yes rooms use little moderizing compermise, just reservations stay,  ",3,61
"good bargain hotel great little neighborhood seattle city center space needle key arena 5 minutes downtown, free shuttle materialized promised location near monorail seattle excellent bus, not luxurious definition lovely old building clean quiet rooms kitchenettes like extended stay hotel, staff courteous helpful, parking 10/night onstreet parking free weekends plentiful no events going arena, recommend inn looking safe central location bargain price,  ",3,68
"nice touches arrived marqueen early hours moved noisy hotel downtown, receptionist helpful friendly colleague delivered earned bottle wine promptly room.all family friends hotel wedding, location easy reach space needle bars restaurants, welcomed use kitchen extras purchase basket room nice touch, staff courteous friendly turn service nice touch,  ",5,52
"close..but no sigar, stayed marqueen week, expensive, different experience staying typical hotel-chains, charming, variable service front-desk positive helpfull staff, room 211 spacius quite asked quite room got no view, window faced brick wall, probably better 3 floor.cleaning better hotel general soon general clean-up.close location space needle belltown,  ",3,58
"gorgeous hotel great hotel huge elegant rooms, clean staff friendly helpful, fantastic value money great location interesting views seattle window seconds away seattle center, recommend anybody,  ",5,30
"perfect needs marqueen nice change typical boxy hotel room, like brand new not love sense history appreciate marqueen, advise trip advisor asked room not bothered noise fact thought maybe ones not case, apartment nice equipped kitchen space, proximity market good restaurants kerry park seattle center monorail walking workable option, staff gracious,  ",5,57
"best bar lobby meet friend year, pop elevator oliver great place drinks people watching, great location,  ",5,19
"luxury luxury having stayed suite elses dime, suite king size bed day bed dining table, posh tell truth stay movie rock star.no complaints does n't better,  ",4,29
"nice stay mayflower park hotel great choice want equidistant space needle basball/football arenas did, needle definitely walkable.the stadiums longer.definitely leave 30-40 minutes walk.another thing close pike place market, blocks away.also right major shopping tins restaurants starbucks course plenty fast-food joints.the staff extremely friendly easily stay, rooms pleasant, classic room touch small fine fine people,  ",4,59
"good hotel walls liked room small, staff great.oor.furnishings nice bed comfy.my compalint hear door, tv woke early n't talking loud hear form time time, wanted romantic away privacy,  ",4,32
"great central location hotel ideally located 4 blocks pike market right beginning monorail line leading space needle, direct covered access mall surrounding monorail station, bar hotel offers great view street seattle fine cocktails, room small did not safe offered reception free.the complimentary wireless internet access great help research town.a note not know distinct scent pizza hallways lobby area maybe adjoining mall food court,  ",4,67
"wonderful stay decorating room little drab dark overall facility nice, deluxe single spacious corner room large seating area, staff gracious helpful price reasonable seattle season, location wonderful walk everthing convenient bus service,  ",4,36
"basic room no special employee attitude good downtown seattle location snobbish attitude desk friendly luggage handlers outdated interior need modernization, rooms fairly basic bit awkward small nonetheless clean, noisy ambiance proximity mono-rail blurts super sounding horn hours night, nice mall near hotel restaurants pike street market places walking distance, avoid seedy areas night located near pike market, bit pricey independent hotel definately think staying improve customer relations skill,  ",3,74
"awesome location helpful staff clean rooms stayed moore hotel celebrate special occasion budget getaway downtown seattle, friendly staff offered helpful dining suggestions surprised spectacular room fifth floor, amazing close waterfront attractions walking distance, hotel clean fantastic value traveler n't phased quirks come older building,  ",5,48
"rudest people dont stay, despite fact cool hotel place sucks, desk nights run rudest people met, not problem room extremely rude not hear issue, dissapointed,  ",1,30
"terrible experience awful night stay, planned staying 3 dirty old hot, no a.c. met 2 policemen suggested safer place town, price n't, spend little lots advantages,  ",1,31
"good location inside room moore old place good section downtown seattle center pike place market, room street bit noisy no a/c windows open, switched night courtyard room reflected traffic noise, courtyard rooms surround moore theater not want stay concert night unless n't bed early, prefer budget hotels near seattle center,  ",3,55
"best budget hotel seattle, reviews right best place location, easy walking distance, floor n't kept awake street traffic ca n't vouch lower rooms, reception friendly price great seattle.only negative points dingy little bathroom fairly small lift cares,  ",4,42
"moore hotel greatest place charming quaint friendly, great location ca n't beat price 10 foot pole, love little shops block underpants jewelry toys stop shopping n't need practical- nitelite bar downstairs awesome,  ",5,35
"stay, stayed moore 3 nights- n't better time, building old extra charming loved staff wireless network, great location right pike place market moore theater lots cute little independant shops, nice views cheap n't believe, bar downstairs excellent decorations- check,  ",5,45
"moore best great practical hotel outstanding price, walking distance, great friendly staff, great price great location, room simple bathrooms claw feet tubs definately visit,  ",5,29
"deal, picked moore basis reviews n't disappointed, great seattle location close, rates reasonable larger room immaculately clean spacious comfortable, does n't little things like shampoo hair dryers, knew brought, staff helpful provided internet access lobby check email, heat wave windows open fan provided management fine, stay anytime,  ",5,56
"not recommend staying, staff routinely indifferent point rude, parking arrangement public garage hill corner remarkably inconvenient, mobility issues parking hotel challenging maneuver, rooms adequate not maintained cleaned particularly, hotel not bad easily better seattle, definitely,  ",2,42
"stay away dirty rooms stayed far better places seattle, room size prison cell window facing outside wall, quiet showered flushed toilet, plus seattle best coffee lobby right downtown, hotel limo expect pay 30 yellow cab, hotel staff helpful friendly,  ",1,45
"good location hotel located, rooms quite cozy comfy bed, bathroom fine said toilet flush really noisy likely wake half middle night.we did door adjcent room really gotdisturbed night door antics quick phone reception 3am soon sorted, real grip attitude reception desk manager forget charm brick, welcoming terribly polite having just arrived seattle vancouver shocked disappointed welcometo city, tip hotel management send guyon charm course maybe just somebody, ok hotel convenient town.cheers,  ",2,78
"enjoyed executive hotel pacific stayed hotel 2 nights, room clean small comfortable worked staff pleasant, cardio room eliptical bike treadmill think new, used small worked needs, looked new seattle library fantastic, walked remember downtown area free zone metro hop bus free zone, 2 beautifully sunny days seattle, fantastic place,  ",4,57
"cramped noisy overrated husband just stayed hotel mid-july horrible experience, not superior queen room incredibly cramped noises elevator guests rooms nearly impossible sleep night, hotel promises amenities wireless internet access rooms n't working, felt like paid place set sour tone beginning vacation, nights cancelled rest stay booked new hotel,  ",1,54
"comfy super location, place fabulous, room little small coming nyc no biggie no pun intended, bed linens really nice duvet cover king size pillows, shower fantastic provided bathrobe, think best ammenities congierge, provided colorful map city gave really good tips based interests, told efficient route wanted, thing n't crazy parking garage, little bit maze, did n't pay not sure fluke hotel validates parking, safe right door,  ",5,78
"nice small bathroom stayed hotel nights returned night leaving seattle, king size room actually large room bathrooms small times, sink tiny second time no room toiletries, overall room clean nice bed flat-screen tv, road noise street, parking 19 night privileges, good location,  ",3,49
"great older hotel downtown location great especially qwest field seahawks game, staff friendly helpful, room small clean appointed, recommend quick overnights,  ",4,25
"small fine really really really small room old buildings like small, computers guest use wi-fi nice sitting room/business area, parking costs 8 day covered garage door, good location shopping waterfront, loved elliotts waterfront restaurant brooklyn restaurant, loved nordstroms, great time seattle,  ",3,48
"good news/ bad news seattle just night opted location price lack air conditioning room quite uncomfortably warm large screened window ceiling bureau fan going speed, location prime walked right street wonderful tour seattle library walked street pike market street frye museum, staff pleasant, room pretty small adult couple teenage daughter, coffee shop lobby good quick continental breakfast,  ",3,62
"small good value spent nights pacific plaza not overly impressed hotel room perfectly adequate needed, bed quite comfortable pillows small bit squished, room contained queen-sized bed large upholstered chair medium dresser large television set, bathroom small clean fresh towels soap provided day, happy hotel price paid, enjoyed coffee shop main level visitor lobby complete free internet acessible computers wonderful, staff friendly majority guests, definitely stay,  ",4,73
"great deal great location, traveling stayed perfect, yes small like european hotels sleeping cares, charming unique, best clean, walking distance staff super helpful, n't someplace want cram family definite good deal travelers,  ",4,39
"better just got week seattle loved minute, pacific plaza good buy use improvement, 8th floor heat builidng rise room, room non-smoking internal ventilation draw smoke rooms, staff courteous helpful location good,  ",3,36
"good place stay stayed nights end august 2008. impressions n't great building looks little long tooth main highway lobby dated room large clean bathroom, hotel location n't bad easy walking distance downtown attractions steep hill doorstep tough negotiate evening meal, speaking food breakfast especially pancakes good, staff friendly helpful offered store bag weeks alaska,  ",4,58
"upgrade outdated arrived given junior suite marriott silver status, upgraded room joke, switches broken linens old bed sagged lcd tv sitting radiator not bed, addition nearly impossible king size bed no walking room, room away highway road noise bad, wife didnot sleep wink night, morning canceled 2 days reservation moved towneplace suites near airport, half price better renaissance, worst marriott stayed, stay away,  ",1,73
"alright check great let check early, requested got mini refrigerator, quite walking distance pike place, nice supermarket block away, room ok,  ",4,26
"great location friendly staff comfortable beds got great deal priceline 100/night treated paid price, room nice comfortable beds complimentary coffee cocoa nice start day, location makes easy sites hills make walk little bit exercise, grayline shuttle sea tac drops hotel inexpensive, ate bar night good food reasonably priced ate restaurants water, victoria clipper 2 10 tip, definitely stay,  ",4,65
"nice hotel, good check fast staff friendly, breakfast cafe good expensive.the rooms clean beds comfortable, hotel centrally located walking distance quite attractions, 12 year old son loved indoor pool, floor great views, hung night.the bad, traffic east freeway terrible, 23rd floor hear night, n't request room change light sleeper bother you. 23.00 night parking ridiculous, stay got good deal,  ",4,71
"enjoyed stay stayed hotel nights, water temperature shower barely luke warm calls desk problem fixed, staff friendly restaurant breakfast buffet nice, huge storm hardly noticable tv reception n't big problem, overall happy accomodations stay,  ",2,39
"nice hotel friendly staff no problem checking parking reviews suggested, hotels seattle charge parking went expecting, parking garage clean lit equipped elevator lobby hotel.the staff friendly met request smile, morning beverage option nice touch kids enjoyed, rooms clean maintained, wish pool larger tended kept comfortable temp, location convenient long n't walking, surely stay,  ",4,61
"stay tonight, slept wonderful, love comforters double sheets, kids loved indoor pool morning hot chocolate, left upscale shower samples not typical brands, got room service dinner nights n't terribly expensive actually tasted good, parking does cost 21 bucks parking just expensive seattle, got great deal room did n't feel bad extras, paid extra internet room bucks day internet long distance phone calls, definitely stay,  ",5,74
"great service probably half star star hotel, guest services outstanding employees ask needed help walking getting hotel desk, ate hotel cafe 2nd floor quick bite checking steak sandwich tender tasted, hot water bathroom instant towels nice, paid 100 night priceline think parking hotel 21 dollars night.feel free ask questions,  ",4,54
"stayed saturday night stop flying home day, floor overlooking expressway, hear noise, restaurants walked square 4 blocks hotel nothing open 2000 saturday hotel restaurants decided not good choice, bed comfortable, today checking bank statements unexplained 104 charge credit card, real test phone calls correct mistake really just hotel, nothing special bit isolated close expressway,  ",3,62
"expect saw rate online sites werent planning stay got group rate 129 room worthwhile certainly wouldnt pay seen rate 199.the room clean spacious comfortable, really great view city.the service friendly, desk pretty slow hotel fully booked busy.the pool pleasant restaurant expect renaissance.the hotel hill fairly steep climb cheap taxi ride didnt feel like walking,  ",3,57
"happier reservation hotels minute taxes paid 200 room, free coffee hot chocolate request wake-up, stayed similar boutique-style hotels cities in-room coffee fan bathroom non-chipping tiles bathroom, personally not recommend hotel desk personnel helpful reasonably friendly, bell personnel left waiting 90+ weather half hour said right car,  ",2,51
"bad vibrations short version air conditioning hotel builds harmonic modulating vibration ducts coming basement, room air returns coming 2 minute buildup release noise drove nuts, figured nicely moved room realize problem probably hear rooms loud did not drive nuts low level, liked open windows hotel right i-5 continuously traveled types vehicles quite loud windows open not.the normal level great marriott service pleasant not stay facility changes air,  ",2,71
"checked early wo n't stay room dirty checked food substances carpet, late night let, got evening no maid service n't provide maid service stay week, furnishings cheap room small simply not worth price, motel 6 masquerading pricier simply not worth,  ",2,45
"fine hotel stayed august 2004 hotel better expected, hotel internet no experience seattle environs, renaissance sits atop hill suppose nearly mile seattle straight walk seafront, walking different matter n't stay not walk hills b n't want pay taxi fare hotel cost 5 7 usually, hotel extremely comfortable small pool 28th floor gym staff extremely friendly, nicer hotels stayed,  ",4,64
"overpriced got friends family discount room way overpriced, location great walking various places city room tiny, no idea hilton insists making people pay internet access especially room expensive, not particularly impressive,  ",3,35
"better previous reviews suggest stayed downtown hilton recently nights conference, apprehensive stay given negative reviews travellers, positive experience stay did not use exercise facility business features, suggestion requested upper floor room view puget sound, quite pleasant, room clean quiet little small, bathroom amenities quite nice, ordered room service stay food excellent arrived ordered, additonally lobby bar pleasant understated, not sure hotel good value rate discounted conference served quite nicely,  ",4,79
"good location average rooms great exec lounge stayed daughters downtown hilton property night holiday weekend, nice view bay buildings got way, desk staff polite helpful did treat older guests little disrespect, parking joke 26.00 nite, positive executive lounge little cramped offered free drinks appetizers everynight 5 9pm exec concierge helpful, dinner salty included complimentary limo ride hilton big win kids, stay points business money look booking,  ",3,73
"stay plenty nice hotels seattle, not, terrible stay bellman lost luggage phones did n't work dirty sheets letter manager answered acknowledged, better staying,  ",1,27
"average facilities need overhaul feel dated, service ok. reason stay good rate need central location,  ",3,17
"excellent choice great choice stay close airport right street, room lovely price right booked hotels, room quiet offered, just aware parking 15.00 overnight,  ",5,27
"posh hotel husband stayed hilton seattle september 2003 night really liked, stayed queen room bed, bed linens wall paper furniture bathroom really nice, nice view, centrally located, reserved room hotwire.com room 100,  ",4,38
"left hand does n't know right doing desk clerks not helpful getting type room booked 4 month advance.the maids baggage handlers courteous helpful.ricky desk clerk know doing.the pool closed nights promises open soon.double room did not book nicer queen bed room did book,  ",3,44
"ok price older hotel somewhat run, check quick, room king bed small, a/c noisy, good breakfast dining area grungy looking.hotel plus convenient space needle.their transport safeco field small shuttle bus told handle 14 passengers, realizing not hold crowd waiting hotel cab saw shuttle 35 minute wait, slow trip game rush hour n't shuttle make trips forth,  ",2,63
"avoid costs place nightmare, understaffed messy, arrived 10 pm guests deep desk telephone continually ringing employee, later lone employee hired week ago, room clean medicinal smell cleaning fluids overwhelming, hallways elevator dirty littered, place absolutely no appeal not close worth 140.00 night,  ",1,49
"great service location great hotel, location amazing, able walk safeco field bit walk public market shopping, chose walk sapce needle easily monorail couple blocks away.the rooms nice clean comfortable.the problem parking, self parking consisted public lots property 38 valet parking, no park just check valets ask valet car immediately ask leave.if looking drinks friends stay away hotel lounge, way overpriced drinks really watered, despite parking hotel lounge great place stay,  ",4,78
"great priceline rate large room live seattle suburb wanted stay downtown wedding, selected 4 star downtown seattle priceline 99, reservation accurate no problems check, given king bed old tower, room large comfortable bed, duvet traditional old blanket, knows washed surprised high end chain hotel, motel like feature rough towels, valet parking 35 wired internet 10,  ",4,64
"great location reservation mixup great hotel superb location, new tower attend conference, facilities superb food excellent, mixup fact extended original reservation definately recommend hotel,  ",4,28
"book priceline reviewers suggested place 100 night priceline, easily accomadated request king room new tower, beautiful hotel perfect location, walked took ferry bainbridge bus locks ballard, nobody renting car stay, bus downtown airport 1.50 person takes 1/2 hour, parking expensive downtown hotel used use public transport,  ",5,53
"relaxing stay great location sheraton hotel prime location heart downtown seattle, convenient shopping easy stroll away pike place market, stayed hotel times staff professional courteous, opening new pine street tower completion lobby renovations added attractiveness hotel, room decor comfortable furnishings thought, really liked new bliss mandarin mint bath products,  ",5,55
"great seattle location great downtown hotel, parking problem, read reviews hotel parking 35 overnite, parked block away convention center 18.short 6 block walk pike place market, n't miss excellent dinner hotel daily grill definitely stay,  ",5,40
"thoroughly enjoyed stay spent 4 nights business july, stayed new tower room outstanding, bed comfortable, conference facilities excellent, downtown location terrific walking, problem fitness facilities limited, opened 5:30 lineup machines, 4 treadmills couple ellipticals resistance machines not size hotel,  ",4,47
"fantastic hotel fabulous stay sheraton downtown seattle, stayed remodeled union tower king corner room.the room decorated shades chocolate brown caramel cream tasteful roomy clean.the staff helpful courteous, hotel walking distance things downtown seattle, fabulous weekend highly recommend hotel looking stay downtown area,  ",5,46
"wonderful time sheraton stayed sheraton auguest 20 2007. pleasantly surprised experience, emailed hotel earlier requesting king room new tower, did n't really expect receive asked afterall payed 125 priceline, checkin pleasantly suprised assigned king room new tower, room lovely, comfy bed lovely view nicer tv home, bathroom bright clean comfortable, location convenient, concierge helpful helping city bus king street station, not hesitate stay,  ",5,73
"worse stay hotel, no help, concierge no idea sites city espically, finding concierge knew fishermans terminal advised taking cab did, not knowing cabs did not return area, stuck hour calling hotel assistance having tell use nothing, saw guests upset,  ",1,46
"nice hotel beware 26 parking/valet fee, great location clean comfy stylish room great service nice views 26 parking fee, expecting 15 seriously 26 bucks, hurt cough money,  ",4,31
"pleases sheraton hotel towers, wife stayed sheraton nights prior alaska cruise, booked hotwire, stay expected, great room, upgrade 29th floor close pikes market.it 10 cab ride pier, purchased roundtrip ticket airporter sheraton, took cab pier, saved 15 n't alot convenient bus drivers friendly cabbies.all-in-all wnat close downtown action great hotel pick, definently 4-star,  ",4,63
"careful book, careful room type person, husband room double beds no kings available beds took room, lounge chairs struck corner n't really tv, going spending nights moved hotel bigger rooms inn harbor steps highly recommend.location central great shopping linens bed comfortable, staff nice n't change room,  ",3,52
"great view, great hotel stay travel seattle, stayed week march 28 night, view room terrific 23rd floor facing downtown, puget sound skyscrapers mountains, location great service great, overall great place stay,  ",5,38
